"","Date","Temp. (°F) - avg","Temp. (°F) - low","Dew Point (°F) - high","Dew Point (°F) - avg","Dew Point (°F) - low","Humidity (%) - high","Humidity (%) - avg","Humidity (%) - low","Sea Level Press. (in) - high","Sea Level Press. (in) - avg","Sea Level Press. (in) - low","Visibility (mi) - high","Visibility (mi) - avg","Visibility (mi) - low","Wind (mph) - high","Wind (mph) - avg","Wind (mph) - high.1","Precip. (in) - sum","Events - "
"1",2017-06-28,"62","57","52","51","51","80","72","63","29.97","29.94","29.91","10","10","9","25","15","30","0.00",NA
"2",2017-06-29,"61","56","51","51","50","86","72","58","30.01","29.98","29.94","10","10","8","33","16","40","0.00",NA
"3",2017-06-30,"60","54","51","50","49","89","75","60","30.01","29.97","29.93","10","10","9","28","16","37","0.00",NA
"4",2017-07-01,"60","54","51","50","49","89","71","52","29.94","29.91","29.86","10","10","8","26","16","34","0.00",NA
"5",2017-07-02,"64","54","55","51","49","86","66","46","29.99","29.93","29.88","10","10","10","18","8","25","0.00",NA
"6",2017-07-03,"67","54","56","53","50","86","64","41","30.03","29.99","29.96","10","10","10","22","9","26","0.00",NA
"7",2017-07-04,"64","55","54","53","51","86","70","53","30.03","29.99","29.96","10","10","8","25","13","31","0.00",NA
"8",2017-07-05,"61","55","52","52","51","86","72","58","30.07","30.04","30.00","10","10","10","25","16","30","0.00",NA
"9",2017-07-06,"64","54","52","51","49","93","70","47","30.09","30.05","30.01","10","10","10","29","17","34","0.00",NA
"10",2017-07-07,"68","54","56","49","46","89","61","32","30.04","29.98","29.90","10","10","10","31","14","35","0.00",NA
"11",2017-07-08,"68","56","52","50","46","80","58","35","29.94","29.92","29.89","10","10","10","29","14","33","0.00",NA
"12",2017-07-09,"62","53","51","51","50","93","73","53","29.95","29.91","29.87","10","10","9","23","16","28","0.00",NA
"13",2017-07-10,"62","55","53","51","50","86","72","58","29.93","29.90","29.88","10","10","8","30","14","34","0.00",NA
"14",2017-07-11,"64","55","52","50","49","80","63","46","29.94","29.91","29.88","10","10","8","25","12","30","0.00",NA
"15",2017-07-12,"63","56","54","52","49","86","70","53","29.96","29.94","29.91","10","10","10","24","12","29","0.00",NA
"16",2017-07-13,"62","54","56","52","50","93","74","55","30.02","29.99","29.96","10","10","10","26","10","29","0.00",NA
"17",2017-07-14,"65","55","57","53","51","86","70","53","30.04","30.01","29.99","10","10","8","26","13","31","0.00",NA
"18",2017-07-15,"70","55","59","52","49","86","61","36","30.03","29.99","29.93","10","10","10","26","11","30","0.00",NA
